Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
57,146,La,94,239,Pu,1,0.0080832,0.0013659,0.0081731,0.0014829, , ,2021-04-28
57,146,La,94,239,Pu,0,0.0044938,0.00075933,0.0038959,0.00070687, , ,2021-04-28
57,145,La,94,239,Pu,0,0.017216,0.0025956,0.020257,0.0024355, , ,2021-04-28
57,144,La,94,239,Pu,0,0.012527,0.0031065,0.016701,0.0031268, , ,2021-04-28
57,143,La,94,239,Pu,0,0.0082229,0.0026617,0.012126,0.0033426, , ,2021-04-28
57,142,La,94,239,Pu,0,0.0029587,0.0010531,0.0049062,0.0017581, , ,2021-04-28
57,141,La,94,239,Pu,0,0.00080565,0.00028977,0.001403,0.00051388, , ,2021-04-28
57,140,La,94,239,Pu,0,0.00011261,4.0104E-05,0.00020861,7.5464E-05, , ,2021-04-28
57,139,La,94,239,Pu,0,1.2033E-05,4.3788E-06,2.1116E-05,7.5849E-06, , ,2021-04-28
57,138,La,94,239,Pu,0,5.542E-07,2.0893E-07,9.0197E-07,3.4102E-07, , ,2021-04-28
57,137,La,94,239,Pu,0,2.2946E-08,8.303E-09,3.2741E-08,1.1973E-08, , ,2021-04-28
57,136,La,94,239,Pu,1,2.0562E-10,7.2515E-11,2.4954E-10,8.837E-11, , ,2021-04-28
57,136,La,94,239,Pu,0,2.0562E-10,7.2515E-11,2.4954E-10,8.837E-11, , ,2021-04-28
57,135,La,94,239,Pu,0,4.9345E-12,1.7547E-12,4.3808E-12,1.6076E-12, , ,2021-04-28
56,152,Ba,94,239,Pu,0,4.5396E-11,1.6279E-11, , , , ,2021-04-28
56,151,Ba,94,239,Pu,0,2.5324E-09,8.9573E-10,7.0586E-11,2.6113E-11, , ,2021-04-28
56,150,Ba,94,239,Pu,0,1.122E-07,3.9196E-08,6.0946E-09,2.2315E-09, , ,2021-04-28
56,149,Ba,94,239,Pu,0,2.4187E-06,8.7044E-07,2.341E-07,8.5793E-08, , ,2021-04-28
56,148,Ba,94,239,Pu,0,3.9536E-05,1.4687E-05,6.5988E-06,2.4979E-06, , ,2021-04-28
56,147,Ba,94,239,Pu,0,0.00035728,0.00012592,8.6135E-05,3.1493E-05, , ,2021-04-28
56,146,Ba,94,239,Pu,0,0.0024763,0.00077641,0.00094248,0.00032178, , ,2021-04-28
56,145,Ba,94,239,Pu,0,0.0084065,0.0021193,0.0041709,0.0013034, , ,2021-04-28
56,144,Ba,94,239,Pu,0,0.022243,0.0032072,0.015468,0.0030204, , ,2021-04-28
56,143,Ba,94,239,Pu,0,0.030232,0.0034901,0.027038,0.0035988, , ,2021-04-28
56,142,Ba,94,239,Pu,0,0.030401,0.0040395,0.032931,0.0038973, , ,2021-04-28
56,141,Ba,94,239,Pu,0,0.017428,0.004282,0.019153,0.0044182, , ,2021-04-28
56,140,Ba,94,239,Pu,0,0.0087561,0.0028386,0.011145,0.0035436, , ,2021-04-28
56,139,Ba,94,239,Pu,0,0.0025137,0.00091318,0.0033548,0.0012091, , ,2021-04-28
56,138,Ba,94,239,Pu,0,0.0004695,0.00017729,0.00068624,0.0002608, , ,2021-04-28
56,137,Ba,94,239,Pu,1,3.7806E-05,1.3685E-05,5.5669E-05,2.0375E-05, , ,2021-04-28
56,137,Ba,94,239,Pu,0,1.5661E-05,5.6688E-06,1.9896E-05,7.2821E-06, , ,2021-04-28
56,136,Ba,94,239,Pu,1,2.7988E-06,9.8701E-07,4.1572E-06,1.4723E-06, , ,2021-04-28
56,136,Ba,94,239,Pu,0,1.1949E-06,4.2139E-07,1.5251E-06,5.4015E-07, , ,2021-04-28
56,135,Ba,94,239,Pu,1,9.9036E-08,3.5217E-08,1.193E-07,4.378E-08, , ,2021-04-28
56,135,Ba,94,239,Pu,0,4.1024E-08,1.4588E-08,4.2639E-08,1.5647E-08, , ,2021-04-28
56,134,Ba,94,239,Pu,0,2.1998E-09,7.9024E-10,2.3174E-09,8.3763E-10, , ,2021-04-28
56,133,Ba,94,239,Pu,1,1.14E-11,4.149E-12,7.9403E-12,2.8685E-12, , ,2021-04-28
56,133,Ba,94,239,Pu,0,3.4843E-12,1.2681E-12,2.0967E-12,7.5747E-13, , ,2021-04-28
56,132,Ba,94,239,Pu,0,0,0,0,0, , ,2021-04-28
55,150,Cs,94,239,Pu,0,5.9978E-12,2.0953E-12, , , , ,2021-04-28
55,149,Cs,94,239,Pu,0,5.295E-10,1.906E-10,1.465E-11,5.3692E-12, , ,2021-04-28
55,148,Cs,94,239,Pu,0,2.35E-08,8.7537E-09,1.2481E-09,4.7272E-10, , ,2021-04-28
55,147,Cs,94,239,Pu,0,8.5169E-07,3.0652E-07,7.8691E-08,2.8952E-08, , ,2021-04-28
55,146,Cs,94,239,Pu,0,1.5221E-05,5.3777E-06,2.5208E-06,9.0487E-07, , ,2021-04-28
55,145,Cs,94,239,Pu,0,0.00018075,6.42E-05,4.6477E-05,1.7238E-05, , ,2021-04-28
55,144,Cs,94,239,Pu,1,0.00056905,0.00020209,0.00021916,7.7805E-05, , ,2021-04-28
55,144,Cs,94,239,Pu,0,0.00056905,0.00020209,0.00021916,7.7805E-05, , ,2021-04-28
55,143,Cs,94,239,Pu,0,0.005954,0.0018652,0.0033329,0.0010967, , ,2021-04-28
55,142,Cs,94,239,Pu,0,0.015241,0.0036667,0.011637,0.0031051, , ,2021-04-28
55,141,Cs,94,239,Pu,0,0.029154,0.0044981,0.027724,0.0044784, , ,2021-04-28
55,140,Cs,94,239,Pu,0,0.027715,0.0046443,0.032575,0.0044866, , ,2021-04-28
55,139,Cs,94,239,Pu,0,0.023029,0.0051158,0.028838,0.0049483, , ,2021-04-28
55,138,Cs,94,239,Pu,1,0.0060608,0.002043,0.0087437,0.0027472, , ,2021-04-28
55,138,Cs,94,239,Pu,0,0.0042712,0.0014398,0.0052283,0.0016427, , ,2021-04-28
55,137,Cs,94,239,Pu,0,0.0045666,0.0016173,0.0069485,0.0024773, , ,2021-04-28
55,136,Cs,94,239,Pu,1,0.00034454,0.00012126,0.00066988,0.0002381, , ,2021-04-28
55,136,Cs,94,239,Pu,0,0.0005879,0.00020692,0.00093693,0.00033302, , ,2021-04-28
55,135,Cs,94,239,Pu,1,5.2211E-05,1.8565E-05,9.7742E-05,3.5908E-05, , ,2021-04-28
55,135,Cs,94,239,Pu,0,8.5439E-05,3.0381E-05,0.00013208,4.8523E-05, , ,2021-04-28
55,134,Cs,94,239,Pu,1,2.8608E-06,1.0277E-06,5.414E-06,1.9571E-06, , ,2021-04-28
55,134,Cs,94,239,Pu,0,3.8815E-06,1.3944E-06,6.115E-06,2.2105E-06, , ,2021-04-28
55,133,Cs,94,239,Pu,0,2.2552E-07,8.2078E-08,3.0077E-07,1.0866E-07, , ,2021-04-28
55,132,Cs,94,239,Pu,0,2.9614E-09,1.0561E-09,2.8831E-09,1.0316E-09, , ,2021-04-28
55,131,Cs,94,239,Pu,0,3.1793E-11,1.1098E-11,2.5645E-11,8.9114E-12, , ,2021-04-28
54,147,Xe,94,239,Pu,0,1.5037E-10,5.412E-11,2.5917E-12,9.5357E-13, , ,2021-04-28
54,146,Xe,94,239,Pu,0,1.1203E-08,3.9615E-09,4.1461E-10,1.4885E-10, , ,2021-04-28
54,145,Xe,94,239,Pu,0,3.4868E-07,1.2486E-07,2.2241E-08,8.2691E-09, , ,2021-04-28
54,144,Xe,94,239,Pu,0,8.504E-06,3.1394E-06,9.7699E-07,3.5333E-07, , ,2021-04-28
54,143,Xe,94,239,Pu,0,0.00011064,4.0828E-05,2.066E-05,7.5774E-06, , ,2021-04-28
54,142,Xe,94,239,Pu,0,0.0010138,0.00035312,0.00029937,0.00010802, , ,2021-04-28
54,141,Xe,94,239,Pu,0,0.0046307,0.0014794,0.0017925,0.00061784, , ,2021-04-28
54,140,Xe,94,239,Pu,0,0.016481,0.0038651,0.0092379,0.0026132, , ,2021-04-28
54,139,Xe,94,239,Pu,0,0.032305,0.005183,0.022329,0.0046571, , ,2021-04-28
54,138,Xe,94,239,Pu,0,0.043642,0.0046269,0.039809,0.005006, , ,2021-04-28
54,137,Xe,94,239,Pu,0,0.039491,0.0056447,0.039938,0.0053662, , ,2021-04-28
54,136,Xe,94,239,Pu,0,0.027037,0.0057224,0.032225,0.0064523, , ,2021-04-28
54,135,Xe,94,239,Pu,1,0.0073835,0.0023529,0.0093996,0.003048, , ,2021-04-28
54,135,Xe,94,239,Pu,0,0.0030585,0.00097465,0.0033594,0.0010894, , ,2021-04-28
54,134,Xe,94,239,Pu,1,0.0015907,0.00056143,0.0024922,0.00088655, , ,2021-04-28
54,134,Xe,94,239,Pu,0,0.00067915,0.0002397,0.00091431,0.00032525, , ,2021-04-28
54,133,Xe,94,239,Pu,1,0.00017199,6.251E-05,0.00023818,8.5958E-05, , ,2021-04-28
54,133,Xe,94,239,Pu,0,7.1242E-05,2.5893E-05,8.5125E-05,3.0722E-05, , ,2021-04-28
54,132,Xe,94,239,Pu,1,7.7564E-06,2.7657E-06,9.7582E-06,3.4915E-06, , ,2021-04-28
54,132,Xe,94,239,Pu,0,6.8426E-06,2.4399E-06,7.2838E-06,2.6062E-06, , ,2021-04-28
54,131,Xe,94,239,Pu,1,3.2464E-07,1.1332E-07,3.6383E-07,1.2642E-07, , ,2021-04-28
54,131,Xe,94,239,Pu,0,1.3448E-07,4.694E-08,1.3004E-07,4.5185E-08, , ,2021-04-28
54,130,Xe,94,239,Pu,0,1.1643E-08,3.6388E-09,9.8973E-09,3.2529E-09, , ,2021-04-28
54,129,Xe,94,239,Pu,1,9.0537E-11,3.1955E-11,5.5409E-11,1.8996E-11, , ,2021-04-28
54,129,Xe,94,239,Pu,0,2.7673E-11,9.7671E-12,1.4631E-11,5.0161E-12, , ,2021-04-28
54,128,Xe,94,239,Pu,0,1.64E-12,5.8453E-13,0,0, , ,2021-04-28
54,126,Xe,94,239,Pu,0,0,0, , , , ,2021-04-28
53,144,I,94,239,Pu,0,1.6039E-09,5.9233E-10,5.4732E-11,1.9795E-11, , ,2021-04-28
53,143,I,94,239,Pu,0,8.5305E-08,3.1598E-08,5.664E-09,2.0792E-09, , ,2021-04-28
53,142,I,94,239,Pu,0,2.0626E-06,7.3941E-07,2.4253E-07,8.843E-08, , ,2021-04-28
53,141,I,94,239,Pu,0,3.4533E-05,1.2374E-05,6.3955E-06,2.3256E-06, , ,2021-04-28
53,140,I,94,239,Pu,0,0.0002844,0.0001005,8.3053E-05,2.9904E-05, , ,2021-04-28
53,139,I,94,239,Pu,0,0.0019781,0.00069296,0.00081912,0.00028831, , ,2021-04-28
53,138,I,94,239,Pu,0,0.0066298,0.0022308,0.0038707,0.0013529, , ,2021-04-28
53,137,I,94,239,Pu,0,0.021774,0.0051889,0.017201,0.0044753, , ,2021-04-28
53,136,I,94,239,Pu,1,0.023531,0.0041391,0.025483,0.0047035, , ,2021-04-28
53,136,I,94,239,Pu,0,0.010046,0.0017672,0.0093489,0.0017256, , ,2021-04-28
53,135,I,94,239,Pu,0,0.0419,0.006196,0.049588,0.0060551, , ,2021-04-28
53,134,I,94,239,Pu,1,0.0095374,0.0023128,0.015367,0.0030324, , ,2021-04-28
53,134,I,94,239,Pu,0,0.012941,0.003138,0.017357,0.0034251, , ,2021-04-28
53,133,I,94,239,Pu,1,0.003889,0.0012518,0.0064599,0.0019304, , ,2021-04-28
53,133,I,94,239,Pu,0,0.006364,0.0020486,0.0087291,0.0026085, , ,2021-04-28
53,132,I,94,239,Pu,1,0.00075712,0.00026471,0.0012193,0.00042636, , ,2021-04-28
53,132,I,94,239,Pu,0,0.0010273,0.00035917,0.0013772,0.00048157, , ,2021-04-28
53,131,I,94,239,Pu,0,0.00023392,8.1366E-05,0.00037233,0.00012895, , ,2021-04-28
53,130,I,94,239,Pu,1,4.9694E-06,1.5527E-06,6.1974E-06,2.0367E-06, , ,2021-04-28
53,130,I,94,239,Pu,0,1.164E-05,3.6367E-06,1.6893E-05,5.5516E-06, , ,2021-04-28
53,129,I,94,239,Pu,0,6.5373E-07,2.3073E-07,7.4169E-07,2.5428E-07, , ,2021-04-28
53,128,I,94,239,Pu,0,2.511E-08,8.9497E-09,2.7007E-08,8.3346E-09, , ,2021-04-28
53,127,I,94,239,Pu,0,1.5192E-08,5.4899E-09,1.1547E-12,4.2776E-13, , ,2021-04-28
53,126,I,94,239,Pu,0,9.5825E-09,3.6235E-09, , , , ,2021-04-28
53,125,I,94,239,Pu,0,1.241E-09,4.6726E-10,6.1708E-10,2.3085E-10, , ,2021-04-28
53,124,I,94,239,Pu,0,2.1932E-11,7.952E-12,4.7672E-12,1.8034E-12, , ,2021-04-28
52,142,Te,94,239,Pu,0,4.6494E-10,1.6668E-10,1.1365E-11,4.144E-12, , ,2021-04-28
52,141,Te,94,239,Pu,0,2.0826E-08,7.4695E-09,8.8724E-10,3.227E-10, , ,2021-04-28
52,140,Te,94,239,Pu,0,6.6229E-07,2.3565E-07,5.2809E-08,1.9063E-08, , ,2021-04-28
52,139,Te,94,239,Pu,0,1.188E-05,4.3214E-06,1.4952E-06,5.3688E-07, , ,2021-04-28
52,138,Te,94,239,Pu,0,0.00015068,5.6656E-05,3.1763E-05,1.2E-05, , ,2021-04-28
52,137,Te,94,239,Pu,0,0.0012082,0.00042902,0.00037482,0.00013609, , ,2021-04-28
52,136,Te,94,239,Pu,0,0.0067975,0.002156,0.0032386,0.0010934, , ,2021-04-28
52,135,Te,94,239,Pu,0,0.02092,0.0051521,0.012639,0.0038091, , ,2021-04-28
52,134,Te,94,239,Pu,0,0.041099,0.0058114,0.037418,0.0064515, , ,2021-04-28
52,133,Te,94,239,Pu,1,0.032852,0.0037724,0.032953,0.0043143, , ,2021-04-28
52,133,Te,94,239,Pu,0,0.013608,0.0015626,0.011777,0.001542, , ,2021-04-28
52,132,Te,94,239,Pu,0,0.029405,0.0044658,0.029984,0.0046418, , ,2021-04-28
52,131,Te,94,239,Pu,1,0.0068527,0.001885,0.008394,0.0023167, , ,2021-04-28
52,131,Te,94,239,Pu,0,0.0028386,0.00078081,0.003,0.000828, , ,2021-04-28
52,130,Te,94,239,Pu,0,0.0026834,0.00079547,0.0032657,0.0010446, , ,2021-04-28
52,129,Te,94,239,Pu,1,0.00018732,6.548E-05,0.00021351,7.2801E-05, , ,2021-04-28
52,129,Te,94,239,Pu,0,7.7592E-05,2.7123E-05,7.631E-05,2.6019E-05, , ,2021-04-28
52,128,Te,94,239,Pu,0,3.6731E-05,1.3065E-05,4.3096E-05,1.3298E-05, , ,2021-04-28
52,127,Te,94,239,Pu,1,1.2838E-05,4.6291E-06,3.5889E-07,1.3295E-07, , ,2021-04-28
52,127,Te,94,239,Pu,0,5.3179E-06,1.9175E-06,1.2827E-07,4.7518E-08, , ,2021-04-28
52,126,Te,94,239,Pu,0,1.3898E-05,5.2436E-06,2.1624E-07,8.7952E-08, , ,2021-04-28
52,125,Te,94,239,Pu,1,1.5342E-06,5.7708E-07,1.1874E-06,4.4402E-07, , ,2021-04-28
52,125,Te,94,239,Pu,0,4.6893E-07,1.7639E-07,3.1356E-07,1.1725E-07, , ,2021-04-28
52,124,Te,94,239,Pu,0,1.5583E-07,5.6497E-08,5.9324E-08,2.2441E-08, , ,2021-04-28
52,123,Te,94,239,Pu,1,3.3347E-09,1.2864E-09,1.1275E-09,4.3117E-10, , ,2021-04-28
52,123,Te,94,239,Pu,0,1.0193E-09,3.9319E-10,2.9772E-10,1.1386E-10, , ,2021-04-28
52,122,Te,94,239,Pu,0,1.3529E-10,4.8997E-11,3.9649E-11,1.495E-11, , ,2021-04-28
52,121,Te,94,239,Pu,1,1.6506E-12,6.3658E-13, , , , ,2021-04-28
52,121,Te,94,239,Pu,0,5.0451E-13,1.9458E-13, , , , ,2021-04-28
51,139,Sb,94,239,Pu,0,2.6618E-09,9.6849E-10,1.0945E-10,3.9303E-11, , ,2021-04-28
51,138,Sb,94,239,Pu,0,9.2532E-08,3.4883E-08,7.0932E-09,2.6818E-09, , ,2021-04-28
51,137,Sb,94,239,Pu,0,2.971E-06,1.075E-06,4.015E-07,1.4682E-07, , ,2021-04-28
51,136,Sb,94,239,Pu,0,4.3843E-05,1.5452E-05,1.0178E-05,3.6037E-06, , ,2021-04-28
51,135,Sb,94,239,Pu,0,0.00052106,0.00018407,0.00018291,6.6913E-05, , ,2021-04-28
51,134,Sb,94,239,Pu,1,0.0019451,0.00067534,0.0011943,0.00042094, , ,2021-04-28
51,134,Sb,94,239,Pu,0,0.00083046,0.00028833,0.00043816,0.00015443, , ,2021-04-28
51,133,Sb,94,239,Pu,0,0.012654,0.0036798,0.0099042,0.002986, , ,2021-04-28
51,132,Sb,94,239,Pu,1,0.0083205,0.0018269,0.0085768,0.0019818, , ,2021-04-28
51,132,Sb,94,239,Pu,0,0.011289,0.0024788,0.0096872,0.0022383, , ,2021-04-28
51,131,Sb,94,239,Pu,0,0.021261,0.0031806,0.024737,0.0035138, , ,2021-04-28
51,130,Sb,94,239,Pu,1,0.0065975,0.001233,0.0074705,0.0016102, , ,2021-04-28
51,130,Sb,94,239,Pu,0,0.0065975,0.001233,0.0074705,0.0016102, , ,2021-04-28
51,129,Sb,94,239,Pu,1,0.0016464,0.00044909,0.0020513,0.00054345, , ,2021-04-28
51,129,Sb,94,239,Pu,0,0.0026942,0.00073491,0.002772,0.00073435, , ,2021-04-28
51,128,Sb,94,239,Pu,1,0.00080351,0.00026231,0.001047,0.00031661, , ,2021-04-28
51,128,Sb,94,239,Pu,0,0.00047089,0.00015373,0.00074859,0.00022637, , ,2021-04-28
51,127,Sb,94,239,Pu,0,0.00077196,0.00024953,0.00057704,0.00020781, , ,2021-04-28
51,126,Sb,94,239,Pu,2,0.00017357,6.0023E-05,6.5916E-05,2.5818E-05, , ,2021-04-28
51,126,Sb,94,239,Pu,1,0.00013271,4.5895E-05,5.3174E-05,2.0827E-05, , ,2021-04-28
51,126,Sb,94,239,Pu,0,0.0001795,6.2072E-05,8.5131E-05,3.3344E-05, , ,2021-04-28
51,125,Sb,94,239,Pu,0,0.00012473,4.3901E-05,0.0001549,5.4737E-05, , ,2021-04-28
51,124,Sb,94,239,Pu,2,1.0019E-05,3.5838E-06,7.741E-06,2.902E-06, , ,2021-04-28
51,124,Sb,94,239,Pu,1,7.4081E-06,2.6498E-06,4.8351E-06,1.8126E-06, , ,2021-04-28
51,124,Sb,94,239,Pu,0,9.6886E-06,3.4655E-06,5.9938E-06,2.247E-06, , ,2021-04-28
51,123,Sb,94,239,Pu,0,3.0502E-06,1.1745E-06,2.0639E-06,7.8831E-07, , ,2021-04-28
51,122,Sb,94,239,Pu,1,1.2727E-07,4.6081E-08,8.7757E-08,3.3085E-08, , ,2021-04-28
51,122,Sb,94,239,Pu,0,1.1227E-07,4.0651E-08,6.5503E-08,2.4695E-08, , ,2021-04-28
51,121,Sb,94,239,Pu,0,1.4693E-08,5.6668E-09,9.6582E-09,3.6476E-09, , ,2021-04-28
51,120,Sb,94,239,Pu,1,1.8415E-11,7.0292E-12,1.1052E-11,4.137E-12, , ,2021-04-28
51,120,Sb,94,239,Pu,0,1.2978E-11,4.9538E-12,6.6084E-12,2.4737E-12, , ,2021-04-28
51,119,Sb,94,239,Pu,0,1.5525E-12,5.6847E-13, , , , ,2021-04-28
50,137,Sn,94,239,Pu,0,4.9379E-10,1.7868E-10,1.5724E-11,5.7502E-12, , ,2021-04-28
50,136,Sn,94,239,Pu,0,2.7477E-08,9.6899E-09,1.7662E-09,6.2548E-10, , ,2021-04-28
50,135,Sn,94,239,Pu,0,1.0225E-06,3.636E-07,1.134E-07,4.1612E-08, , ,2021-04-28
50,134,Sn,94,239,Pu,0,2.1902E-05,7.8643E-06,4.855E-06,1.7544E-06, , ,2021-04-28
50,133,Sn,94,239,Pu,0,0.00033186,0.00011979,0.00011145,4.0052E-05, , ,2021-04-28
50,132,Sn,94,239,Pu,0,0.0019201,0.00064694,0.00091015,0.0003121, , ,2021-04-28
50,131,Sn,94,239,Pu,1,0.0042149,0.0011609,0.0031875,0.00090283, , ,2021-04-28
50,131,Sn,94,239,Pu,0,0.0017459,0.00048088,0.0011392,0.00032267, , ,2021-04-28
50,130,Sn,94,239,Pu,1,0.0080354,0.0015036,0.0074952,0.0016122, , ,2021-04-28
50,130,Sn,94,239,Pu,0,0.0034306,0.00064193,0.0027498,0.00059147, , ,2021-04-28
50,129,Sn,94,239,Pu,1,0.0058151,0.00092262,0.0053669,0.00097355, , ,2021-04-28
50,129,Sn,94,239,Pu,0,0.0024088,0.00038218,0.0019181,0.00034795, , ,2021-04-28
50,128,Sn,94,239,Pu,1,0.0037079,0.00051294,0.0044813,0.00089548, , ,2021-04-28
50,128,Sn,94,239,Pu,0,0.001583,0.00021899,0.0016441,0.00032852, , ,2021-04-28
50,127,Sn,94,239,Pu,1,0.00085568,0.00012032,0.0010674,0.00020935, , ,2021-04-28
50,127,Sn,94,239,Pu,0,0.0020657,0.00029047,0.0029864,0.00058574, , ,2021-04-28
50,126,Sn,94,239,Pu,0,0.0020245,0.00038609,0.0016441,0.00033939, , ,2021-04-28
50,125,Sn,94,239,Pu,1,0.00020684,3.9175E-05,0.00021909,4.4066E-05, , ,2021-04-28
50,125,Sn,94,239,Pu,0,0.00049935,9.4575E-05,0.00061299,0.00012329, , ,2021-04-28
50,124,Sn,94,239,Pu,0,0.00050918,0.00012512,0.00036424,0.00010324, , ,2021-04-28
50,123,Sn,94,239,Pu,1,4.624E-05,1.5966E-05,3.2015E-05,1.1159E-05, , ,2021-04-28
50,123,Sn,94,239,Pu,0,0.00011163,3.8543E-05,8.9575E-05,3.1222E-05, , ,2021-04-28
50,122,Sn,94,239,Pu,0,3.9803E-05,1.3864E-05,3.2404E-05,1.1902E-05, , ,2021-04-28
50,121,Sn,94,239,Pu,1,4.7273E-06,1.8107E-06,4.438E-06,1.6677E-06, , ,2021-04-28
50,121,Sn,94,239,Pu,0,1.9582E-06,7.5006E-07,1.5862E-06,5.9606E-07, , ,2021-04-28
50,120,Sn,94,239,Pu,0,1.1848E-07,4.5218E-08,1.1056E-07,4.1383E-08, , ,2021-04-28
50,119,Sn,94,239,Pu,1,1.2995E-08,4.7585E-09,1.0234E-08,3.8368E-09, , ,2021-04-28
50,119,Sn,94,239,Pu,0,3.972E-09,1.4544E-09,2.7025E-09,1.0132E-09, , ,2021-04-28
50,118,Sn,94,239,Pu,0,1.2504E-09,4.6193E-10,8.365E-10,3.4624E-10, , ,2021-04-28
50,117,Sn,94,239,Pu,1,5.5452E-11,2.0122E-11,3.4648E-11,1.4236E-11, , ,2021-04-28
50,117,Sn,94,239,Pu,0,1.6949E-11,6.1505E-12,9.1492E-12,3.7592E-12, , ,2021-04-28
50,116,Sn,94,239,Pu,0,1.1855E-12,4.3245E-13,0,0, , ,2021-04-28
50,115,Sn,94,239,Pu,0,0,0,0,0, , ,2021-04-28
50,114,Sn,94,239,Pu,0,0,0,0,0, , ,2021-04-28
49,135,In,94,239,Pu,0,9.2971E-11,3.306E-11,2.6263E-12,9.6377E-13, , ,2021-04-28
49,134,In,94,239,Pu,0,7.6397E-09,2.7445E-09,5.075E-10,1.8344E-10, , ,2021-04-28
49,133,In,94,239,Pu,1,8.5795E-08,3.1225E-08,9.1515E-09,3.3059E-09, , ,2021-04-28
49,133,In,94,239,Pu,0,3.7104E-07,1.3504E-07,4.5452E-08,1.6419E-08, , ,2021-04-28
49,132,In,94,239,Pu,0,9.4522E-06,3.3683E-06,1.8601E-06,6.6523E-07, , ,2021-04-28
49,131,In,94,239,Pu,4,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,131,In,94,239,Pu,1,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,131,In,94,239,Pu,0,3.1447E-05,1.0891E-05,1.0545E-05,3.6326E-06, , ,2021-04-28
49,130,In,94,239,Pu,2,0.00027229,8.1578E-05,0.00012292,3.8296E-05, , ,2021-04-28
49,130,In,94,239,Pu,1,0.00016003,4.7947E-05,8.8244E-05,2.7492E-05, , ,2021-04-28
49,130,In,94,239,Pu,0,0.00014328,4.2928E-05,6.0605E-05,1.8881E-05, , ,2021-04-28
